lagoslakeid,HU4,lon,lat,random25_holdout,random75_holdout,hu4_ag50_holdout,hu4_strat75_holdout,hu4_random50_holdout,cluster_strat75_holdout,cluster_random50_holdout,tp,tn,chal,secchi,maxdepth_m,IWS_lk_ratio,iws_nlcd2006_for,lake_sdf,lakeconn_v2_1,lakeconn_v2_2,iws_sdf,iws_streamdensity_streams_density_mperha,elevation_m,wlconnections_allwetlands_shoreline%,roaddensity_mperha,baseflow_mean,runoff_mean,totalNdep_19902010_diff,hu4_nlcd2006_agr,totalNdep_1990_mean,prism_ppt_mean,prism_tmean_mean
1,12,-73.174249,42.547393,0,1,0,1,1,1,0,NA,NA,NA,1.3,2.7,6.395493511,79.34,2.44600795,0,1,2.463167502,4.7642,295.855011,9.2963323,18.8848,46.7442,23.6167,3.7694,16.4373,6.8876,1174.4487,7.5265
2,7,-73.047277,42.184089,0,0,0,1,0,0,1,5,NA,3.9,6.5,6.1,2.477944847,79.57,1.662449203,0,0,2.568845852,0,447.8349915,2.938701,79.9651,47.925,24.1792,3.0082,6.5853,5.8813,1205.8622,6.8017
3,12,-73.19155,42.530813,0,1,0,1,1,1,0,27,NA,6.6,2.4,1.8,18.76098045,79.9,1.89119888,1,0,2.266871607,10.3695,295.855011,5.8218295,16.124,46.7442,23.6167,3.7694,16.4373,6.8876,1174.4487,7.5265
4,10,-71.140791,42.454346,0,0,0,1,1,1,0,36,NA,44.2,0.95,5.2,351.6859649,6.29,1.313612489,0,1,2.577856833,7.1432,4.256000042,NA,117.8805,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
5,10,-70.822672,42.604047,0,0,0,1,1,1,0,NA,NA,12.4,1.4,3.4,15.64164218,45.9,1.517493566,1,0,2.309858958,13.7756,13.65000057,2.0126685,63.1638,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
6,11,-72.11992,42.142094,0,0,0,1,0,1,0,7,NA,2.6,5.4,13.7,1.75995922,74.33,1.54635056,1,0,2.924343534,5.4252,219.8040009,NA,53.4074,49.7178,25.1198,3.4168,8.3497,6.5764,1247.0477,9.3886
7,10,-71.001721,42.69819,1,1,0,1,1,1,0,8,NA,11.8,5.1,12.5,14.31268821,72.71,1.479416153,1,0,1.92151067,13.0347,27.25000191,2.5707633,31.6261,57.049,24.672,1.803,4.8034,4.9128,1241.9529,10.0176
8,7,-72.37155,42.621946,0,1,0,0,0,0,1,5,260,6.2,5,9.8,13.0415003,91.66,1.751600171,0,0,2.030979786,0,232.8139954,2.6328726,36.4081,47.925,24.1792,3.0082,6.5853,5.8813,1205.8622,6.8017
9,7,-72.753502,42.04511,0,1,0,0,0,1,1,17,NA,2.6,4.6,12.2,4.615095876,30.73,1.594988961,0,0,2.55543383,0,69.58300018,NA,93.4046,47.925,24.1792,3.0082,6.5853,5.8813,1205.8622,6.8017
10,7,-72.75964,42.030017,1,1,0,1,0,0,0,NA,NA,14,2.1,10.7,5.639521151,25.01,2.250871756,1,0,3.097143864,4.2272,69.58300018,8.4754148,55.7895,47.925,24.1792,3.0082,6.5853,5.8813,1205.8622,6.8017
